ticker,buy_date,buy_price,target_pct,stop_pct,target_price,stop_price,exit_date,exit_price,exit_reason,holding_trading_days,return_pct,buy_rule_hit,buy_badges,regime_combined,regime_version,filter_summary
DAPP,2024-02-09,8.828782,15.00,-5.00,10.153099,8.387343,2024-02-14,10.153099,TARGET_+15%,3,15.000000,USA_PASS_FP80;USA_PASS_DUAL,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_QUALIFIED""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
WGMI,2024-02-09,16.939844,15.00,-5.00,19.480821,16.092852,2024-02-14,19.480821,TARGET_+15%,3,15.000000,USA_PASS_FP80;USA_PASS_DUAL,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_ELITE""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
NAMS,2024-02-21,21.559999,15.00,-5.00,24.793999,20.481999,2024-02-28,24.793999,TARGET_+15%,5,15.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_QUALIFIED""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
SQM,2024-02-22,42.947361,15.00,-5.00,49.389465,40.799993,2024-02-29,49.389465,TARGET_+15%,5,15.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_QUALIFIED""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
REVB,2024-02-29,175.199997,15.00,-5.00,201.479996,166.439997,2024-03-01,166.439997,STOP_-5%,1,-5.000000,USA_PASS_FP80;USA_PASS_DUAL,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_ELITE""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
VIAV,2024-03-01,9.730000,15.00,-5.00,11.189499,9.243500,2024-03-06,11.189499,TARGET_+15%,3,15.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_QUALIFIED""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
ANVS,2024-03-19,8.920000,15.00,-5.00,10.258000,8.474000,2024-03-20,10.258000,TARGET_+15%,1,15.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_STRONG"",""BULL_DIV_IN_LAST_20_DAYS""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
NUWE,2024-05-28,411.600006,15.00,-5.00,473.340007,391.020006,2024-05-29,391.020006,STOP_-5%,1,-5.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_QUALIFIED""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
CNTA,2024-07-10,9.900000,15.00,-5.00,11.385000,9.405000,2024-07-11,9.405000,STOP_-5%,1,-5.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_STRONG""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
CONL,2024-07-16,56.860001,15.00,-5.00,65.389001,54.017001,2024-07-17,54.017001,STOP_-5%,1,-5.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_PREMIUM""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
