iter	Passed	Remaining
0	49	24697
1	52	13052
2	56	9318
3	59	7399
4	60	6033
5	62	5113
6	63	4479
7	66	4059
8	68	3742
9	71	3486
10	73	3285
11	76	3109
12	78	2954
13	81	2820
14	83	2704
15	84	2563
16	85	2438
17	87	2333
18	88	2240
19	89	2156
20	91	2080
21	92	2011
22	93	1947
23	95	1886
24	96	1829
25	97	1777
26	98	1728
27	99	1682
28	101	1641
29	102	1604
30	103	1569
31	105	1537
32	106	1512
33	108	1483
34	109	1456
35	111	1431
36	112	1407
37	113	1382
38	115	1360
39	116	1339
40	117	1319
41	119	1299
42	120	1280
43	122	1266
44	123	1249
45	125	1233
46	126	1218
47	127	1202
48	129	1188
49	130	1173
50	131	1160
51	133	1147
52	134	1134
53	135	1122
54	137	1112
55	138	1102
56	140	1090
57	141	1080
58	143	1070
59	144	1060
60	145	1050
61	147	1041
62	148	1031
63	150	1022
64	151	1013
65	152	1005
66	154	997
67	155	988
68	157	980
69	158	972
70	159	963
71	160	956
72	162	949
73	163	942
74	165	935
75	166	929
76	167	922
77	169	915
78	170	909
79	172	903
80	173	897
81	174	891
82	176	886
83	177	880
84	179	875
85	180	869
86	182	864
87	183	858
88	184	852
89	186	848
90	187	842
91	188	837
92	190	832
93	191	827
94	192	822
95	194	817
96	195	812
97	196	807
98	198	802
99	199	796
100	200	791
101	201	787
102	203	782
103	204	779
104	206	775
105	207	771
106	208	766
107	210	762
108	211	758
109	212	754
110	214	751
111	215	747
112	216	743
113	218	739
114	219	735
115	221	732
116	222	729
117	224	725
118	225	722
119	226	718
120	228	715
121	229	711
122	231	708
123	232	704
124	233	701
125	235	699
126	236	695
127	238	692
128	239	689
129	240	685
130	242	682
131	243	678
132	244	676
133	246	672
134	247	669
135	249	666
136	250	663
137	251	660
138	253	657
139	254	654
140	256	652
141	257	649
142	258	646
143	260	643
144	261	640
145	263	637
146	264	635
147	265	632
148	267	629
149	268	626
150	270	624
151	271	621
152	272	618
153	273	615
154	275	612
155	276	610
156	278	607
157	279	604
158	280	602
159	282	599
160	283	597
161	284	594
162	286	592
163	287	589
164	288	586
165	290	584
166	291	581
167	293	579
168	294	576
169	295	574
170	297	571
171	298	569
172	300	567
173	301	564
174	302	562
175	304	559
176	305	557
177	306	555
178	308	552
179	309	550
180	310	547
181	312	545
182	313	543
183	314	540
184	316	538
185	317	536
186	319	534
187	320	531
188	321	529
189	323	527
190	324	524
191	325	522
192	327	520
193	328	518
194	329	516
195	331	513
196	332	511
197	333	508
198	334	506
199	336	504
200	337	502
201	338	499
202	340	497
203	341	495
204	342	493
205	344	491
206	345	489
207	346	487
208	348	484
209	349	482
210	351	480
211	352	478
212	353	476
213	355	474
214	356	472
215	358	470
216	359	468
217	360	466
218	362	464
219	363	462
220	364	460
221	366	458
222	367	456
223	368	454
224	370	452
225	371	450
226	373	448
227	374	446
228	375	444
229	377	442
230	378	440
231	379	438
232	381	436
233	382	434
234	383	432
235	385	430
236	386	429
237	387	427
238	389	425
239	390	423
240	392	421
241	393	419
242	394	417
243	396	415
244	397	413
245	398	411
246	400	409
247	401	408
248	402	406
249	404	404
250	405	402
251	407	400
252	408	398
253	409	396
254	411	395
255	412	393
256	413	391
257	415	389
258	416	387
259	418	385
260	419	384
261	420	382
262	422	380
263	423	378
264	424	376
265	426	374
266	427	373
