date,total_put_call_ratio,index_put_call_ratio,equity_put_call_ratio,status,fetched_at_utc
2025-01-02,1.04,1.21,0.80,ok,2026-03-13T05:49:44Z
2025-01-03,0.81,1.04,0.45,ok,2026-03-13T05:49:44Z
2025-01-06,0.80,1.12,0.42,ok,2026-03-13T05:49:44Z
2025-01-07,0.78,0.93,0.45,ok,2026-03-13T05:49:44Z
2025-01-08,0.95,1.17,0.60,ok,2026-03-13T05:49:44Z
2025-01-09,1.73,1.73,0.00,ok,2026-03-13T05:49:44Z
2025-01-10,0.97,1.21,0.70,ok,2026-03-13T05:49:44Z
2025-01-13,0.95,1.18,0.60,ok,2026-03-13T05:49:44Z
2025-01-14,0.77,1.12,0.41,ok,2026-03-13T05:49:44Z
2025-01-15,0.86,1.07,0.58,ok,2026-03-13T05:49:44Z
2025-01-16,0.85,0.88,0.94,ok,2026-03-13T05:49:44Z
2025-01-17,0.69,0.91,0.43,ok,2026-03-13T05:49:44Z
2025-01-21,0.72,0.94,0.46,ok,2026-03-13T05:49:44Z
2025-01-22,0.76,0.92,0.49,ok,2026-03-13T05:49:44Z
2025-01-23,0.78,0.97,0.53,ok,2026-03-13T05:49:44Z
2025-01-24,0.76,1.00,0.52,ok,2026-03-13T05:49:44Z
2025-01-27,0.89,1.13,0.57,ok,2026-03-13T05:49:44Z
2025-01-28,0.75,0.98,0.53,ok,2026-03-13T05:49:44Z
2025-01-29,0.72,0.76,0.59,ok,2026-03-13T05:49:44Z
2025-01-30,0.69,0.77,0.52,ok,2026-03-13T05:49:44Z
2025-01-31,0.85,1.21,0.49,ok,2026-03-13T05:49:44Z
2025-02-03,0.93,1.14,0.54,ok,2026-03-13T05:49:44Z
2025-02-04,0.84,1.11,0.51,ok,2026-03-13T05:49:44Z
2025-02-05,0.79,1.02,0.54,ok,2026-03-13T05:49:44Z
2025-02-06,0.80,0.99,0.57,ok,2026-03-13T05:49:44Z
2025-02-07,0.79,1.05,0.52,ok,2026-03-13T05:49:44Z
2025-02-10,0.77,1.03,0.47,ok,2026-03-13T05:49:44Z
2025-02-11,0.83,1.12,0.53,ok,2026-03-13T05:49:44Z
2025-02-12,0.85,1.09,0.56,ok,2026-03-13T05:49:44Z
2025-02-13,0.95,1.06,0.77,ok,2026-03-13T05:49:44Z
2025-02-14,0.70,1.04,0.46,ok,2026-03-13T05:49:44Z
2025-02-18,0.76,0.88,0.50,ok,2026-03-13T05:49:44Z
2025-02-19,0.89,1.16,0.60,ok,2026-03-13T05:49:44Z
2025-02-20,0.75,1.00,0.59,ok,2026-03-13T05:49:44Z
2025-02-21,0.87,1.11,0.63,ok,2026-03-13T05:49:44Z
2025-02-24,0.97,1.30,0.58,ok,2026-03-13T05:49:44Z
2025-02-25,0.92,1.17,0.64,ok,2026-03-13T05:49:44Z
2025-02-26,0.92,1.12,0.60,ok,2026-03-13T05:49:44Z
2025-02-27,0.84,0.85,0.68,ok,2026-03-13T05:49:44Z
2025-02-28,0.92,1.19,0.61,ok,2026-03-13T05:49:44Z
2025-03-03,0.94,1.05,0.64,ok,2026-03-13T05:49:44Z
2025-03-04,0.91,0.99,0.61,ok,2026-03-13T05:49:44Z
2025-03-05,0.76,0.82,0.54,ok,2026-03-13T05:49:44Z
2025-03-06,0.95,1.13,0.65,ok,2026-03-13T05:49:44Z
2025-03-07,0.90,1.23,0.57,ok,2026-03-13T05:49:44Z
2025-03-10,0.92,1.14,0.60,ok,2026-03-13T05:49:44Z
2025-03-11,0.91,0.95,0.57,ok,2026-03-13T05:49:44Z
2025-03-12,0.91,0.97,0.62,ok,2026-03-13T05:49:44Z
2025-03-13,1.03,1.02,0.94,ok,2026-03-13T05:49:44Z
2025-03-14,0.96,1.22,0.57,ok,2026-03-13T05:49:44Z
2025-03-17,0.91,1.04,0.59,ok,2026-03-13T05:49:44Z
2025-03-18,0.78,0.89,0.58,ok,2026-03-13T05:49:44Z
2025-03-19,0.88,1.16,0.54,ok,2026-03-13T05:49:44Z
2025-03-20,0.83,1.09,0.61,ok,2026-03-13T05:49:44Z
2025-03-21,0.82,1.08,0.55,ok,2026-03-13T05:49:44Z
2025-03-24,0.76,0.96,0.48,ok,2026-03-13T05:49:44Z
2025-03-25,0.79,0.80,0.65,ok,2026-03-13T05:49:44Z
2025-03-26,0.95,1.11,0.71,ok,2026-03-13T05:49:44Z
2025-03-27,0.97,1.13,0.72,ok,2026-03-13T05:49:44Z
2025-03-28,1.02,1.15,0.68,ok,2026-03-13T05:49:44Z
2025-03-31,0.97,1.14,0.58,ok,2026-03-13T05:49:44Z
2025-04-01,0.91,1.09,0.53,ok,2026-03-13T05:49:44Z
2025-04-02,0.95,1.02,0.59,ok,2026-03-13T05:49:44Z
2025-04-03,1.15,1.05,1.02,ok,2026-03-13T05:49:44Z
2025-04-04,1.18,1.31,0.64,ok,2026-03-13T05:49:44Z
2025-04-07,1.20,1.58,0.63,ok,2026-03-13T05:49:44Z
2025-04-08,1.23,1.35,0.77,ok,2026-03-13T05:49:44Z
2025-04-09,1.04,1.38,0.58,ok,2026-03-13T05:49:44Z
2025-04-10,1.11,1.17,0.76,ok,2026-03-13T05:49:44Z
2025-04-11,0.78,0.99,0.43,ok,2026-03-13T05:49:44Z
2025-04-14,1.01,1.11,0.68,ok,2026-03-13T05:49:44Z
2025-04-15,1.02,1.09,0.72,ok,2026-03-13T05:49:44Z
2025-04-16,0.95,1.19,0.72,ok,2026-03-13T05:49:44Z
2025-04-17,0.89,1.23,0.54,ok,2026-03-13T05:49:44Z
2025-04-21,1.00,1.19,0.67,ok,2026-03-13T05:49:44Z
2025-04-22,0.87,1.13,0.54,ok,2026-03-13T05:49:44Z
2025-04-23,0.90,1.11,0.54,ok,2026-03-13T05:49:44Z
2025-04-24,0.99,1.21,0.64,ok,2026-03-13T05:49:44Z
2025-04-25,0.81,1.23,0.46,ok,2026-03-13T05:49:44Z
2025-04-28,0.84,0.99,0.57,ok,2026-03-13T05:49:44Z
2025-04-29,0.88,1.04,0.55,ok,2026-03-13T05:49:44Z
2025-04-30,0.83,0.87,0.67,ok,2026-03-13T05:49:44Z
2025-05-01,0.83,1.09,0.52,ok,2026-03-13T05:49:44Z
2025-05-02,0.84,1.20,0.49,ok,2026-03-13T05:49:44Z
2025-05-05,0.92,1.17,0.60,ok,2026-03-13T05:49:44Z
2025-05-06,0.91,1.13,0.64,ok,2026-03-13T05:49:44Z
2025-05-07,0.80,1.09,0.54,ok,2026-03-13T05:49:44Z
2025-05-08,0.81,0.84,0.54,ok,2026-03-13T05:49:44Z
2025-05-09,0.77,1.03,0.53,ok,2026-03-13T05:49:44Z
2025-05-12,0.85,1.17,0.50,ok,2026-03-13T05:49:44Z
2025-05-13,0.79,1.05,0.55,ok,2026-03-13T05:49:44Z
2025-05-14,0.70,0.90,0.41,ok,2026-03-13T05:49:44Z
2025-05-15,0.68,0.82,0.52,ok,2026-03-13T05:49:44Z
2025-05-16,0.69,0.96,0.43,ok,2026-03-13T05:49:44Z
2025-05-19,0.87,1.16,0.48,ok,2026-03-13T05:49:44Z
2025-05-20,0.78,0.92,0.56,ok,2026-03-13T05:49:44Z
2025-05-21,0.89,1.10,0.55,ok,2026-03-13T05:49:44Z
2025-05-22,0.94,1.06,0.75,ok,2026-03-13T05:49:44Z
2025-05-23,0.95,1.25,0.60,ok,2026-03-13T05:49:44Z
2025-05-27,0.88,1.16,0.52,ok,2026-03-13T05:49:44Z
2025-05-28,0.81,1.03,0.58,ok,2026-03-13T05:49:44Z
2025-05-29,0.77,0.91,0.53,ok,2026-03-13T05:49:44Z
2025-05-30,0.88,1.07,0.57,ok,2026-03-13T05:49:44Z
2025-06-02,0.85,1.04,0.58,ok,2026-03-13T05:49:44Z
2025-06-03,0.93,1.06,0.51,ok,2026-03-13T05:49:44Z
2025-06-04,0.85,1.03,0.52,ok,2026-03-13T05:49:44Z
2025-06-05,0.86,1.08,0.63,ok,2026-03-13T05:49:44Z
2025-06-06,0.87,1.18,0.55,ok,2026-03-13T05:49:44Z
2025-06-09,0.79,1.11,0.52,ok,2026-03-13T05:49:44Z
2025-06-10,0.87,1.12,0.57,ok,2026-03-13T05:49:44Z
2025-06-11,0.79,0.98,0.52,ok,2026-03-13T05:49:44Z
2025-06-12,0.87,1.12,0.58,ok,2026-03-13T05:49:44Z
2025-06-13,0.89,1.03,0.61,ok,2026-03-13T05:49:44Z
2025-06-16,0.90,1.06,0.51,ok,2026-03-13T05:49:44Z
2025-06-17,0.94,1.10,0.61,ok,2026-03-13T05:49:44Z
2025-06-18,0.97,1.18,0.98,ok,2026-03-13T05:49:44Z
2025-06-20,0.88,1.21,0.54,ok,2026-03-13T05:49:44Z
2025-06-23,0.95,1.23,0.54,ok,2026-03-13T05:49:44Z
2025-06-24,0.90,1.03,0.56,ok,2026-03-13T05:49:44Z
2025-06-25,0.81,1.02,0.53,ok,2026-03-13T05:49:44Z
2025-06-26,0.77,0.97,0.53,ok,2026-03-13T05:49:44Z
2025-06-27,0.75,0.90,0.52,ok,2026-03-13T05:49:44Z
2025-06-30,0.83,0.99,0.51,ok,2026-03-13T05:49:44Z
