as_of_date;risk_score_raw;risk_score_final
2025-01-01;62,50;62,50
2025-01-02;62,50;62,50
2025-01-03;62,50;62,50
2025-01-04;62,50;62,50
2025-01-05;62,50;62,50
2025-01-06;62,50;62,50
2025-01-07;62,50;62,50
2025-01-08;62,50;62,50
2025-01-09;59,50;61,50
2025-01-10;59,50;60,50
2025-01-11;59,50;59,50
2025-01-12;59,50;59,50
2025-01-13;59,50;59,50
2025-01-14;59,50;59,50
2025-01-15;59,50;59,50
2025-01-16;59,50;59,50
2025-01-17;62,50;60,50
2025-01-18;62,50;61,50
2025-01-19;62,50;62,50
2025-01-20;62,50;62,50
2025-01-21;62,50;62,50
2025-01-22;62,50;62,50
2025-01-23;62,50;62,50
2025-01-24;65,50;63,50
2025-01-25;65,50;64,50
2025-01-26;65,50;65,50
2025-01-27;62,50;64,50
2025-01-28;62,50;63,50
2025-01-29;62,50;62,50
2025-01-30;62,50;62,50
2025-01-31;62,50;62,50
2025-02-01;62,50;62,50
2025-02-02;62,50;62,50
2025-02-03;62,50;62,50
2025-02-04;62,50;62,50
2025-02-05;62,50;62,50
2025-02-06;62,50;62,50
2025-02-07;59,50;61,50
2025-02-08;59,50;60,50
2025-02-09;59,50;59,50
2025-02-10;59,50;59,50
2025-02-11;59,50;59,50
2025-02-12;59,50;59,50
2025-02-13;59,50;59,50
2025-02-14;59,50;59,50
2025-02-15;59,50;59,50
2025-02-16;59,50;59,50
2025-02-17;59,50;59,50
2025-02-18;59,50;59,50
2025-02-19;59,50;59,50
2025-02-20;59,50;59,50
2025-02-21;59,50;59,50
2025-02-22;59,50;59,50
2025-02-23;59,50;59,50
2025-02-24;59,50;59,50
2025-02-25;59,50;59,50
2025-02-26;59,50;59,50
2025-02-27;50,50;56,50
2025-02-28;50,50;53,50
2025-03-01;50,50;50,50
2025-03-02;50,50;50,50
2025-03-03;50,50;50,50
2025-03-04;56,50;52,50
2025-03-05;56,50;54,50
2025-03-06;56,50;56,50
2025-03-07;56,50;56,50
2025-03-08;50,50;54,50
2025-03-09;53,50;53,50
2025-03-10;53,50;52,50
2025-03-11;53,50;53,50
2025-03-12;56,50;54,50
2025-03-13;53,50;54,50
2025-03-14;53,50;54,50
2025-03-15;56,50;54,50
2025-03-16;56,50;55,50
2025-03-17;56,50;56,50
2025-03-18;56,50;56,50
2025-03-19;56,50;56,50
2025-03-20;56,50;56,50
2025-03-21;56,50;56,50
2025-03-22;62,50;58,50
2025-03-23;62,50;60,50
2025-03-24;62,50;62,50
2025-03-25;62,50;62,50
2025-03-26;59,50;61,50
2025-03-27;59,50;60,50
2025-03-28;56,50;58,50
2025-03-29;56,50;57,50
2025-03-30;50,50;54,50
2025-03-31;50,50;52,50
2025-04-01;50,50;50,50
2025-04-02;53,50;51,50
2025-04-03;51,50;51,83
2025-04-04;57,50;54,17
2025-04-05;51,50;53,50
2025-04-06;51,50;53,50
2025-04-07;51,50;51,50
2025-04-08;46,50;49,83
2025-04-09;51,50;49,83
