as_of_date;risk_score_raw;risk_score_final;btc_usd_cbbtcusd;hy_oas_bamlh0a0hym2;pcr_equity_cboe;fed_walcl;usd_broad_dtwexbgs
2025-01-01;62,50;62,50;96903,19;2,92;0,46;6852491,00;129,28
2025-01-02;62,50;62,50;98136,51;2,88;0,80;6852491,00;129,46
2025-01-03;62,50;62,50;98209,85;2,81;0,45;6852491,00;129,45
2025-01-04;62,50;62,50;98345,33;2,81;0,45;6852491,00;129,45
2025-01-05;62,50;62,50;102279,41;2,81;0,45;6852491,00;129,45
2025-01-06;62,50;62,50;96941,98;2,76;0,42;6852491,00;128,54
2025-01-07;62,50;62,50;95036,63;2,79;0,45;6852491,00;128,61
2025-01-08;62,50;62,50;92547,44;2,84;0,60;6853554,00;129,08
2025-01-09;59,50;61,50;94701,18;2,82;0,00;6853554,00;129,28
2025-01-10;59,50;60,50;94565,02;2,81;0,70;6853554,00;129,87
2025-01-11;59,50;59,50;94509,62;2,81;0,70;6853554,00;129,87
2025-01-12;59,50;59,50;94506,45;2,81;0,70;6853554,00;129,87
2025-01-13;59,50;59,50;96534,96;2,85;0,60;6853554,00;130,04
2025-01-14;59,50;59,50;100510,23;2,80;0,41;6853554,00;129,38
2025-01-15;59,50;59,50;99981,78;2,72;0,58;6834070,00;129,21
2025-01-16;59,50;59,50;104107,00;2,73;0,94;6834070,00;129,44
2025-01-17;62,50;60,50;104435,00;2,64;0,43;6834070,00;129,49
2025-01-18;62,50;61,50;101211,13;2,64;0,43;6834070,00;129,49
2025-01-19;62,50;62,50;102145,43;2,64;0,43;6834070,00;129,49
2025-01-20;62,50;62,50;106159,26;2,64;0,43;6834070,00;129,49
2025-01-21;62,50;62,50;103667,11;2,61;0,46;6834070,00;128,42
2025-01-22;62,50;62,50;103926,36;2,59;0,49;6831760,00;128,34
2025-01-23;62,50;62,50;104850,27;2,61;0,53;6831760,00;128,22
2025-01-24;65,50;63,50;104733,56;2,60;0,52;6831760,00;127,46
2025-01-25;65,50;64,50;102563,00;2,60;0,52;6831760,00;127,46
2025-01-26;65,50;65,50;102062,42;2,60;0,52;6831760,00;127,46
2025-01-27;62,50;64,50;101290,00;2,66;0,57;6831760,00;128,09
2025-01-28;62,50;63,50;103747,25;2,66;0,53;6831760,00;128,28
2025-01-29;62,50;62,50;104742,64;2,68;0,59;6818186,00;128,34
2025-01-30;62,50;62,50;102411,26;2,67;0,52;6818186,00;128,10
2025-01-31;62,50;62,50;100623,85;2,68;0,49;6818186,00;128,48
2025-02-01;62,50;62,50;97676,52;2,68;0,49;6818186,00;128,48
2025-02-02;62,50;62,50;101460,20;2,68;0,49;6818186,00;128,48
2025-02-03;62,50;62,50;97795,05;2,73;0,54;6818186,00;129,11
2025-02-04;62,50;62,50;96638,33;2,71;0,51;6818186,00;128,11
2025-02-05;62,50;62,50;96564,62;2,69;0,54;6810935,00;127,98
2025-02-06;62,50;62,50;96537,08;2,66;0,57;6810935,00;128,20
2025-02-07;59,50;61,50;96476,25;2,67;0,52;6810935,00;128,43
2025-02-08;59,50;60,50;96475,82;2,67;0,52;6810935,00;128,43
2025-02-09;59,50;59,50;97444,41;2,67;0,52;6810935,00;128,43
2025-02-10;59,50;59,50;95774,08;2,66;0,47;6810935,00;128,64
2025-02-11;59,50;59,50;97862,53;2,66;0,53;6810935,00;128,43
2025-02-12;59,50;59,50;96625,29;2,65;0,56;6813513,00;128,33
2025-02-13;59,50;59,50;97509,03;2,65;0,77;6813513,00;127,89
2025-02-14;59,50;59,50;97596,94;2,62;0,46;6813513,00;127,15
2025-02-15;59,50;59,50;96119,88;2,62;0,46;6813513,00;127,15
2025-02-16;59,50;59,50;95781,80;2,62;0,46;6813513,00;127,15
2025-02-17;59,50;59,50;95607,40;2,62;0,46;6813513,00;127,15
2025-02-18;59,50;59,50;96632,03;2,62;0,50;6813513,00;127,29
2025-02-19;59,50;59,50;98347,20;2,68;0,60;6782332,00;127,73
2025-02-20;59,50;59,50;96157,03;2,66;0,59;6782332,00;127,11
2025-02-21;59,50;59,50;96582,12;2,78;0,63;6782332,00;127,14
2025-02-22;59,50;59,50;96265,98;2,78;0,63;6782332,00;127,14
2025-02-23;59,50;59,50;91510,82;2,78;0,63;6782332,00;127,14
2025-02-24;59,50;59,50;88583,74;2,78;0,58;6782332,00;127,19
2025-02-25;59,50;59,50;84111,78;2,84;0,64;6782332,00;127,38
2025-02-26;59,50;59,50;84625,19;2,81;0,60;6766101,00;127,28
