horizon,state,n_days,n_top10_raw,top10_rate_raw,avg_return_top10_raw,win_rate_top10_raw,n_top10_first,top10_rate_first,avg_return_top10_first,win_rate_top10_first,n_top10_cluster_start,top10_rate_cluster_start,avg_return_top10_cluster_start,win_rate_top10_cluster_start
5,DOWNTREND_EARLY,3433,321,0.093504,0.095546,1.0,57,0.016604,0.076764,1.0,178,0.05185,0.087109,1.0
5,DOWNTREND_LATE,311,28,0.090032,0.103214,1.0,7,0.022508,0.094421,1.0,14,0.045016,0.096545,1.0
5,ENTRY_WINDOW,100,7,0.07,0.161347,1.0,4,0.04,0.115907,1.0,5,0.05,0.113265,1.0
5,NO_TRADE,129416,12950,0.100065,0.097179,1.0,92,0.000711,0.078703,1.0,6778,0.052374,0.086361,1.0
5,PASS,42,7,0.166667,0.205672,1.0,5,0.119048,0.15485,1.0,5,0.119048,0.15485,1.0
5,STABILIZING,613,79,0.128874,0.10915,1.0,21,0.034258,0.07752,1.0,46,0.075041,0.094757,1.0
10,DOWNTREND_EARLY,3433,308,0.089717,0.145965,1.0,44,0.012817,0.11874,1.0,161,0.046898,0.129893,1.0
10,DOWNTREND_LATE,311,23,0.073955,0.140327,1.0,7,0.022508,0.114367,1.0,11,0.03537,0.132877,1.0
10,ENTRY_WINDOW,100,11,0.11,0.181316,1.0,5,0.05,0.180487,1.0,7,0.07,0.158523,1.0
10,NO_TRADE,129416,12961,0.10015,0.141091,1.0,92,0.000711,0.112811,1.0,5641,0.043588,0.123732,1.0
10,PASS,42,10,0.238095,0.196511,1.0,5,0.119048,0.195873,1.0,5,0.119048,0.195873,1.0
10,STABILIZING,613,79,0.128874,0.191222,1.0,16,0.026101,0.108338,1.0,40,0.065253,0.142412,1.0
20,DOWNTREND_EARLY,3433,361,0.105156,0.213272,1.0,44,0.012817,0.174907,1.0,162,0.047189,0.191246,1.0
20,DOWNTREND_LATE,311,10,0.032154,0.174697,1.0,2,0.006431,0.206997,1.0,4,0.012862,0.185065,1.0
20,ENTRY_WINDOW,100,19,0.19,0.300321,1.0,8,0.08,0.336257,1.0,12,0.12,0.2806,1.0
20,NO_TRADE,129416,12907,0.099733,0.204238,1.0,92,0.000711,0.158619,1.0,4759,0.036773,0.181744,1.0
20,PASS,42,13,0.309524,0.342156,1.0,7,0.166667,0.313491,1.0,7,0.166667,0.313491,1.0
20,STABILIZING,613,82,0.133768,0.309647,1.0,15,0.02447,0.229188,1.0,31,0.050571,0.250704,1.0
30,DOWNTREND_EARLY,3427,421,0.122848,0.294403,1.0,44,0.012839,0.236662,1.0,160,0.046688,0.276553,1.0
30,DOWNTREND_LATE,311,15,0.048232,0.254424,1.0,4,0.012862,0.241895,1.0,8,0.025723,0.232515,1.0
30,ENTRY_WINDOW,97,18,0.185567,0.389458,1.0,8,0.082474,0.411408,1.0,11,0.113402,0.373757,1.0
30,NO_TRADE,128602,12742,0.099081,0.255192,1.0,92,0.000715,0.201793,1.0,4330,0.03367,0.22886,1.0
30,PASS,40,11,0.275,0.421518,1.0,6,0.15,0.37252,1.0,6,0.15,0.37252,1.0
30,STABILIZING,610,102,0.167213,0.351083,1.0,20,0.032787,0.279584,1.0,44,0.072131,0.311493,1.0
50,DOWNTREND_EARLY,3378,478,0.141504,0.423104,1.0,39,0.011545,0.360205,1.0,171,0.050622,0.384722,1.0
50,DOWNTREND_LATE,298,16,0.053691,0.537814,1.0,4,0.013423,0.492813,1.0,7,0.02349,0.527793,1.0
50,ENTRY_WINDOW,95,18,0.189474,0.56838,1.0,8,0.084211,0.600031,1.0,12,0.126316,0.55466,1.0
50,NO_TRADE,126834,12481,0.098404,0.342366,1.0,92,0.000725,0.251634,1.0,3907,0.030804,0.311143,1.0
50,PASS,38,10,0.263158,0.728888,1.0,5,0.131579,0.737164,1.0,5,0.131579,0.737164,1.0
50,STABILIZING,604,122,0.201987,0.526838,1.0,17,0.028146,0.436123,1.0,48,0.07947,0.455937,1.0
