fiscal_quarter,fiscal_year,market_availability_date,period_end_date,publish_date,quarter_id,ticker
Q3,2019,,2019-09-30,2019-08-18,17723,ABVC
Q4,2026,,2026-05-31,2025-07-08,311,AEHR
Q4,2025,,2025-12-31,2025-03-12,357,AEYE
Q4,2024,,2024-12-31,2024-09-30,783,AMST
Q4,2025,,2025-12-31,2025-02-25,890,APA
Q4,2024,,2024-12-31,2024-03-29,1343,AVTX
Q3,2021,,2021-10-30,2021-09-08,23675,BBW
Q3,2025,2025-10-11,2025-10-31,2025-10-11,1505,BBW
Q1,2026,,2026-04-30,2025-05-29,1517,BBY
Q1,2026,2025-10-11,2025-10-31,2025-10-11,1551,BCTX
Q4,2025,,2025-12-31,2025-02-05,1624,BG
Q4,2024,,2024-12-31,2024-02-29,1658,BHVN
Q4,2024,,2024-12-31,2024-03-28,1695,BJDX
Q4,2025,,2025-12-31,2025-04-15,1852,BNZI
Q4,2025,,2025-12-31,2025-03-28,1857,BOC
Q2,2020,,2020-06-30,2020-01-11,25400,BRTX
Q3,2020,,2020-09-30,2020-04-12,25399,BRTX
Q4,2025,,2025-12-31,2025-03-31,1964,BTBD
Q4,2025,,2025-09-30,2024-11-25,2334,CENTA
Q4,2025,,2025-12-31,2025-01-29,2503,CLB
Q2,2025,,2025-06-30,2024-08-09,2532,CLMT
Q4,2025,,2025-12-31,2025-02-28,2534,CLMT
Q4,2025,,2025-12-31,2025-02-20,2709,CNR
Q4,2025,,2025-12-31,2025-03-31,2736,COCH
Q4,2025,,2026-03-31,2024-05-07,3032,CRUS
Q1,2026,,2026-06-30,2025-08-05,3033,CRUS
Q4,2025,,2025-12-31,2025-03-17,3246,CWCO
Q1,2026,,2026-04-30,2025-05-29,3467,DELL
Q4,2025,,2025-12-31,2025-02-13,3573,DKNG
Q4,2025,,2026-01-31,2024-03-07,3679,DOMO
Q4,2025,,2025-12-31,2025-02-25,3725,DRVN
Q4,2025,,2025-12-31,2025-03-31,3891,EDBL
Q3,2025,2025-12-29,2025-12-31,2025-12-29,3912,EEFT
Q4,2025,,2025-12-31,2025-02-06,4396,FBIN
Q3,2025,,2025-04-30,2024-12-10,4480,FERG
Q3,2020,,2020-11-30,2020-01-21,37092,FNGR
Q3,2021,,2021-11-30,2021-10-20,37089,FNGR
Q2,2024,,2024-05-31,2024-05-30,37082,FNGR
Q4,2025,,2025-12-31,2025-02-27,4798,FUN
Q1,2026,,2026-04-30,2024-05-31,4862,GCO
