days_since_previous,fiscal_quarter,fiscal_year,period_end_date,quarter_id,ticker
2011.0,Q4,2024,2024-12-31,2114,CAPS
1187.0,Q1,2025,2025-06-30,6881,LION
1007.0,Q3,2021,2021-01-31,19073,AI
1006.0,Q4,2020,2020-12-31,59382,REBN
1006.0,Q4,2024,2024-12-31,10410,SCNI
915.0,Q4,2024,2024-12-31,12229,VIVS
913.0,Q1,2021,2021-03-31,62525,SKYX
840.0,Q1,2023,2023-04-16,26313,CAVA
826.0,Q1,2021,2021-04-04,32765,DNUT
826.0,Q1,2022,2022-04-03,58511,QDEL
822.0,Q3,2022,2022-09-30,41886,IBEX
822.0,Q1,2023,2022-09-30,65452,TEAM
821.0,Q1,2021,2021-03-31,19237,AIRS
821.0,Q1,2021,2021-03-31,23527,BBAI
821.0,Q1,2021,2021-03-31,25908,BZFD
821.0,Q1,2024,2024-03-31,28127,CLS
821.0,Q1,2021,2021-03-31,29738,CRGY
821.0,Q1,2024,2024-03-31,30342,CSTM
821.0,Q1,2021,2021-03-31,32673,DNA
821.0,Q1,2021,2021-03-31,32921,DOUG
821.0,Q1,2021,2021-03-31,33068,DRS
821.0,Q1,2021,2021-03-31,37454,FRSH
821.0,Q1,2024,2024-03-31,42827,INDV
821.0,Q1,2022,2022-03-31,47869,LVWR
821.0,Q1,2021,2021-03-31,52675,NRDS
821.0,Q1,2021,2021-03-31,59486,RELY
821.0,Q1,2024,2024-03-31,61736,SDRL
821.0,Q1,2025,2024-03-31,62156,SHOP
821.0,Q1,2021,2021-03-31,62777,SLVM
821.0,Q1,2021,2021-03-31,64059,SSRM
821.0,Q1,2022,2022-03-31,65143,TBLA
821.0,Q1,2021,2021-03-31,65440,TEAD
821.0,Q1,2021,2021-03-31,70531,WGS
820.0,Q1,2023,2023-03-31,24219,BG
820.0,Q1,2023,2023-03-31,26251,CART
820.0,Q1,2021,2021-04-30,31243,CXM
820.0,Q1,2023,2023-03-31,38063,GCT
820.0,Q1,2023,2023-03-31,42547,IMCR
820.0,Q1,2023,2023-03-31,45792,KVYO
820.0,Q1,2023,2023-03-31,50023,MNR
820.0,Q1,2023,2023-03-31,51518,NATL
820.0,Q1,2021,2021-04-30,55508,PATH
820.0,Q1,2023,2023-03-31,56386,PGY
820.0,Q1,2023,2023-03-31,56445,PHIN
820.0,Q1,2021,2021-04-30,56670,PL
820.0,Q1,2023,2023-03-31,65428,TE
820.0,Q1,2023,2023-03-31,65970,TKO
820.0,Q1,2023,2023-03-31,69238,VLTO
819.0,Q1,2020,2020-05-02,22047,ASO
819.0,Q1,2021,2021-05-02,28663,CNM
819.0,Q1,2021,2021-03-28,37883,FWRG
819.0,Q1,2023,2023-04-01,64606,SVV
818.0,Q1,2021,2021-03-28,58241,PTLO
762.0,Q4,2021,2021-12-31,69912,VTS
