cash,fiscal_quarter,fiscal_year,period_end_date,revenue,shares_outstanding,ticker,total_debt
5828548.0,Q4,2021,2021-12-31,-37793.0,25053522.0,ABVC,1640000.0
681480.0,Q4,2025,2025-12-31,-795950.0,24322552.0,ABVC,3472826.0
89985000.0,Q2,2025,2025-06-30,-20435000.0,55005353.0,ACRE,888209000.0
45120389.0,Q3,2025,2025-09-30,-3896617.0,22594541.0,AFCG,111057895.0
656000000.0,Q2,2025,2025-06-30,-112000000.0,1041700000.0,AGNC,60000000.0
493000000.0,Q1,2026,2026-03-31,-114000000.0,1147800000.0,AGNC,
109091.0,Q4,2025,2025-12-31,-1050305.0,4854009.0,ALBT,940359.0
192414000.0,Q1,2020,2020-03-31,224633000.0,0.0,ALHC,
200883000.0,Q2,2020,2020-06-30,244313000.0,0.0,ALHC,
222326000.0,Q3,2020,2020-09-30,247867000.0,0.0,ALHC,
207311000.0,Q4,2020,2020-12-31,242409000.0,0.0,ALHC,144168000.0
111097000.0,Q4,2022,2022-12-31,-110000.0,46926349.0,ALT,4581000.0
74999000.0,Q2,2024,2024-06-30,-1023000.0,68024929.0,AMLX,
41963000.0,Q1,2026,2026-03-31,-2203000.0,24914647.0,AOMR,2361134000.0
41552000.0,Q4,2025,2025-05-31,-33300000.0,224909669.0,APLD,702877000.0
31701916.0,Q4,2025,2025-12-31,-95349.0,106919830.0,AREC,3727945.0
255852000.0,Q1,2023,2023-03-31,-2088496000.0,120253000.0,ARKO,808630000.0
220142000.0,Q2,2023,2023-06-30,-2469141000.0,121280000.0,ARKO,823671000.0
141166000.0,Q2,2025,2025-06-30,-72319000.0,88070861.0,ARR,
66471000.0,Q1,2026,2026-03-31,-51719000.0,123629707.0,ARR,18612075000.0
311700000.0,Q4,2023,2023-12-31,-43100000.0,55500000.0,ARVN,1000000.0
238588000.0,Q4,2022,2022-12-31,-1000.0,60799275.0,ASTS,5000000.0
2374.0,Q4,2018,2018-12-31,-8756.0,,ATLX,
151088.0,Q4,2019,2019-12-31,-1120.0,,ATLX,1295087.0
5767276.0,Q4,2021,2021-12-31,-291603.0,21329281.0,AUID,
4899658.0,Q3,2025,2025-09-30,-106146.0,13443740.0,AUID,
10646301.0,Q4,2018,2018-12-31,-6314321.0,34773613.0,AVTX,15377882.0
19442000.0,Q4,2022,2022-12-31,-41261000.0,43073473.0,BLFS,25607000.0
27896000.0,Q4,2023,2023-12-31,-13976000.0,43719185.0,BLFS,23846000.0
10900000.0,Q4,2018,2018-09-30,827500000.0,0.0,BRBR,
208711000.0,Q3,2021,2021-09-30,-10767000.0,128693000.0,BRSP,1323193000.0
65335000.0,Q4,2023,2023-12-31,-44872000.0,89011000.0,BW,405691000.0
1341000.0,Q4,2018,2018-12-31,-2000000.0,,CAPS,2475000.0
721000000.0,Q1,2021,2021-03-31,5559000000.0,0.0,CEG,
542000000.0,Q2,2021,2021-06-30,4153000000.0,0.0,CEG,
1957000000.0,Q3,2021,2021-09-30,4406000000.0,0.0,CEG,
47291000.0,Q1,2025,2025-03-31,-3050000.0,32630919.0,CHMI,149304000.0
11981000.0,Q4,2022,2022-12-31,-28673000.0,37201000.0,CLAR,138986000.0
90327000.0,Q2,2026,2026-06-30,-15593000.0,141084206.0,CMTG,1029212000.0
439700000.0,Q1,2021,2021-03-31,-139700000.0,91600000.0,CNNE,59700000.0
50700000.0,Q1,2022,2022-03-31,-97800000.0,85900000.0,CNNE,15300000.0
100600000.0,Q2,2022,2022-06-30,-19000000.0,83500000.0,CNNE,106700000.0
39365000.0,Q2,2021,2021-06-30,-127210000.0,219897242.0,CNX,2289068000.0
365000.0,Q3,2021,2021-09-30,-880261000.0,215738737.0,CNX,2435406000.0
8570000.0,Q1,2022,2022-03-31,-913098000.0,199854257.0,CNX,2226873000.0
155194000.0,Q4,2019,2019-12-28,-440734671.0,41159000.0,COHU,353035000.0
340400000.0,Q4,2019,2019-06-30,-245200000.0,751200000.0,COTY,7469900000.0
32672000.0,Q4,2022,2022-12-31,-4028000.0,51982000.0,CRNX,
364618000.0,Q4,2021,2021-12-31,-86875000.0,81542729.0,CTKB,
296601000.0,Q4,2022,2022-12-31,-112737000.0,138562111.0,CTKB,2271000.0
205530000.0,Q4,2021,2021-12-31,-12534000.0,64146848.0,CTMX,
2060000.0,Q4,2022,2022-10-31,-177810000.0,17745000.0,CVGW,66286000.0
420000000.0,Q1,2018,2018-03-31,1537000000.0,0.0,CVI,
668000000.0,Q4,2018,2018-12-31,1738000000.0,0.0,CVI,
13382000.0,Q4,2022,2022-12-31,-720000.0,2173000.0,CYCN,3500000.0
5035006.0,Q2,2025,2025-06-30,-21172.0,9030386.0,DARE,3032713.0
196352000.0,Q4,2020,2020-12-31,-1212000.0,10968769.0,DBVT,15471000.0
125484000.0,Q2,2021,2021-06-30,-1488000.0,54904764.0,DBVT,12803000.0
209194000.0,Q4,2022,2022-12-31,-1305000.0,77384133.0,DBVT,1894000.0
715000000.0,Q4,2025,2025-12-31,-1871000000.0,136398481.0,DD,3194000000.0
11503283.0,Q1,2020,2020-03-31,188738433.0,0.0,DFH,
35057235.0,Q2,2020,2020-06-30,199801128.0,0.0,DFH,
42081890.0,Q3,2020,2020-09-30,284166827.0,0.0,DFH,
425200000.0,Q4,2023,2024-02-03,-5182800000.0,219900000.0,DLTR,3426300000.0
387520000.0,Q2,2025,2025-06-30,-1313000.0,125358375.0,DX,
773138000.0,Q1,2026,2026-03-31,-59109000.0,207154465.0,DX,
,Q3,2022,2021-09-30,192141000.0,0.0,EE,
239100000.0,Q4,2022,2022-12-31,-89200000.0,67599000.0,EEX,413900000.0
8963856.0,Q4,2025,2025-12-31,-662309.0,33800951.0,EMPD,100658336.0
330770000.0,Q2,2021,2021-06-30,-260116000.0,279156000.0,EQT,399699000.0
22792000.0,Q3,2021,2021-09-30,-1464838000.0,356792000.0,EQT,12441000.0
16913000.0,Q1,2022,2022-03-31,-579110000.0,374142000.0,EQT,493815000.0
7332000.0,Q3,2020,2020-09-30,-161000.0,,ETON,7007000.0
