final_state,previous_final_state,rows
NOT_READY,NOT_READY,19375
MATURE_STABLE,MATURE_STABLE,5965
DISTRESS_CONTRACTION,DISTRESS_CONTRACTION,5249
PROFITABLE_GROWTH,PROFITABLE_GROWTH,4142
POSITIVE_INFLECTION,POSITIVE_INFLECTION,3756
DECLINING,DECLINING,3353
NOT_READY,,2540
DECELERATING,DECELERATING,965
EARLY_RECOVERY,EARLY_RECOVERY,788
DISTRESS_CONTRACTION,NOT_READY,528
MATURE_STABLE,PROFITABLE_GROWTH,427
MATURE_STABLE,NOT_READY,394
DECLINING,NOT_READY,353
HIGH_GROWTH_EXPANSION,HIGH_GROWTH_EXPANSION,341
DECLINING,MATURE_STABLE,330
POSITIVE_INFLECTION,DISTRESS_CONTRACTION,316
PROFITABLE_GROWTH,MATURE_STABLE,314
PROFITABLE_GROWTH,POSITIVE_INFLECTION,305
PROFITABLE_GROWTH,NOT_READY,287
POSITIVE_INFLECTION,NOT_READY,277
POSITIVE_INFLECTION,DECLINING,269
MATURE_STABLE,DECLINING,237
PROFITABLE_GROWTH,DECLINING,213
DECLINING,POSITIVE_INFLECTION,210
DECLINING,PROFITABLE_GROWTH,202
DISTRESS_CONTRACTION,DECLINING,195
POSITIVE_INFLECTION,EARLY_RECOVERY,176
DECELERATING,MATURE_STABLE,159
MATURE_STABLE,POSITIVE_INFLECTION,150
EARLY_RECOVERY,DISTRESS_CONTRACTION,145
MATURE_STABLE,DECELERATING,140
DISTRESS_CONTRACTION,POSITIVE_INFLECTION,120
POSITIVE_INFLECTION,MATURE_STABLE,116
POSITIVE_INFLECTION,PROFITABLE_GROWTH,111
NOT_READY,DISTRESS_CONTRACTION,102
DECLINING,DECELERATING,97
DECELERATING,PROFITABLE_GROWTH,93
EARLY_RECOVERY,NOT_READY,89
DISTRESS_CONTRACTION,EARLY_RECOVERY,87
DECELERATING,NOT_READY,86
PROFITABLE_GROWTH,DECELERATING,85
EARLY_RECOVERY,POSITIVE_INFLECTION,79
DECELERATING,DECLINING,73
DECLINING,DISTRESS_CONTRACTION,68
EARLY_RECOVERY,DECLINING,50
HIGH_GROWTH_EXPANSION,POSITIVE_INFLECTION,49
NOT_READY,POSITIVE_INFLECTION,44
HIGH_GROWTH_EXPANSION,PROFITABLE_GROWTH,44
EARLY_RECOVERY,MATURE_STABLE,39
DECLINING,HIGH_GROWTH_EXPANSION,37
DECELERATING,POSITIVE_INFLECTION,37
MATURE_STABLE,EARLY_RECOVERY,36
PROFITABLE_GROWTH,HIGH_GROWTH_EXPANSION,35
POSITIVE_INFLECTION,DECELERATING,32
NOT_READY,DECLINING,30
NOT_READY,MATURE_STABLE,30
HIGH_GROWTH_EXPANSION,NOT_READY,30
DISTRESS_CONTRACTION,MATURE_STABLE,27
NOT_READY,PROFITABLE_GROWTH,26
DECLINING,EARLY_RECOVERY,22
DECELERATING,HIGH_GROWTH_EXPANSION,22
MATURE_STABLE,HIGH_GROWTH_EXPANSION,18
DISTRESS_CONTRACTION,PROFITABLE_GROWTH,18
POSITIVE_INFLECTION,HIGH_GROWTH_EXPANSION,15
HIGH_GROWTH_EXPANSION,MATURE_STABLE,15
HIGH_GROWTH_EXPANSION,DECLINING,14
NOT_READY,EARLY_RECOVERY,13
DISTRESS_CONTRACTION,DECELERATING,12
HIGH_GROWTH_EXPANSION,DECELERATING,12
PROFITABLE_GROWTH,DISTRESS_CONTRACTION,8
NOT_READY,DECELERATING,7
NOT_READY,HIGH_GROWTH_EXPANSION,3
HIGH_GROWTH_EXPANSION,DISTRESS_CONTRACTION,2
MATURE_STABLE,DISTRESS_CONTRACTION,2
DISTRESS_CONTRACTION,HIGH_GROWTH_EXPANSION,2
