accepted_at_utc,accepted_source_provider,capex,cash,created_at_utc,currency,derivation_method,ebit,ebitda,fiscal_quarter,fiscal_year,free_cashflow,gross_profit,net_income,operating_cashflow,operating_income,period_end_date,publish_date,quarter_id,resolution_issue_id,revenue,shares_outstanding,ticker,total_debt,update_run_id,updated_at_utc
2026-08-23T074231Z,LEGACY,-4195000000.0,45059000000.0,2026-08-23T074231Z,,"{""free_cashflow"":""DIRECT_WITH_DERIVED_CHECK:operating_cashflow + capex""}",15894000000.0,,Q2,2018,10935000000.0,23422000000.0,13822000000.0,15130000000.0,15894000000.0,2018-03-31,2018-05-01,17425,,61137000000.0,5068493000.0,AAPL,109860000000.0,V3_PHASE3C2_LEGACY_DEEP_HISTORY_2026-08-23T074231Z,2026-08-23T074231Z
2026-08-24T09:24:02.702073+00:00,LEGACY,-3267000000.0,31971000000.0,2026-08-23T074231Z,,"{""artifact_research_run"": ""PHASE4C2F_EVIDENCE_BASED_GATE_REFINEMENT"", ""formula_id"": ""EBIT_PLUS_DA_COMBINED"", ""formula_version"": ""1"", ""phase"": ""4C-3"", ""production_class"": ""AUTO_STRONG"", ""q_applicability"": ""STRONG_Q1_Q3"", ""semantic_class"": ""SEMANTIC_A_OR_B_HISTORIC_STRICT"", ""source_mode"": ""STRICT_4C2D_AUTO_STRONG"", ""statistical_class"": ""STAT_HIGH""}",12612000000.0,15277000000.0,Q3,2018,11221000000.0,20421000000.0,11519000000.0,14488000000.0,12612000000.0,2018-06-30,2018-07-31,17424,,53265000000.0,4926609000.0,AAPL,102626000000.0,V3_PHASE4C3_EBIT_EBITDA_PRODUCTION_APPLY_20260824T092352Z,2026-08-24T09:24:02.702073+00:00
2026-08-23T16:02:25Z,LEGACY,-3041000000.0,25913000000.0,2026-08-23T074231Z,,"{""free_cashflow"":""DERIVED:operating_cashflow + capex""}",16118000000.0,,Q4,2018,16482000000.0,24084000000.0,14125000000.0,19523000000.0,16118000000.0,2018-09-29,2018-11-01,17423,,62900000000.0,20000435000.0,AAPL,102519000000.0,V3_PHASE4B_DIRECT_RECOVERY_20260823T160224Z,2026-08-23T16:02:25Z
2026-08-24T09:24:02.702073+00:00,LEGACY,-3355000000.0,44771000000.0,2026-08-23T074231Z,,"{""artifact_research_run"": ""PHASE4C2F_EVIDENCE_BASED_GATE_REFINEMENT"", ""formula_id"": ""EBIT_PLUS_DA_COMBINED"", ""formula_version"": ""1"", ""phase"": ""4C-3"", ""production_class"": ""AUTO_STRONG"", ""q_applicability"": ""STRONG_Q1_Q3"", ""semantic_class"": ""SEMANTIC_A_OR_B_HISTORIC_STRICT"", ""source_mode"": ""STRICT_4C2D_AUTO_STRONG"", ""statistical_class"": ""STAT_HIGH""}",23346000000.0,26741000000.0,Q1,2019,23335000000.0,32031000000.0,19965000000.0,26690000000.0,23346000000.0,2018-12-29,2019-01-29,17422,,84310000000.0,4773252000.0,AAPL,102761000000.0,V3_PHASE4C3_EBIT_EBITDA_PRODUCTION_APPLY_20260824T092352Z,2026-08-24T09:24:02.702073+00:00
2026-08-24T09:24:02.702073+00:00,LEGACY,-2363000000.0,37988000000.0,2026-08-23T074231Z,,"{""artifact_research_run"": ""PHASE4C2F_EVIDENCE_BASED_GATE_REFINEMENT"", ""formula_id"": ""EBIT_PLUS_DA_COMBINED"", ""formula_version"": ""1"", ""phase"": ""4C-3"", ""production_class"": ""AUTO_STRONG"", ""q_applicability"": ""STRONG_Q1_Q3"", ""semantic_class"": ""SEMANTIC_A_OR_B_HISTORIC_STRICT"", ""source_mode"": ""STRICT_4C2D_AUTO_STRONG"", ""statistical_class"": ""STAT_HIGH""}",13415000000.0,16455000000.0,Q2,2019,8792000000.0,21821000000.0,11561000000.0,11155000000.0,13415000000.0,2019-03-30,2019-04-30,17421,,58015000000.0,4700646000.0,AAPL,100706000000.0,V3_PHASE4C3_EBIT_EBITDA_PRODUCTION_APPLY_20260824T092352Z,2026-08-24T09:24:02.702073+00:00
2026-08-24T09:24:02.702073+00:00,LEGACY,-2000000000.0,50530000000.0,2026-08-23T074231Z,,"{""artifact_research_run"": ""PHASE4C2F_EVIDENCE_BASED_GATE_REFINEMENT"", ""formula_id"": ""EBIT_PLUS_DA_COMBINED"", ""formula_version"": ""1"", ""phase"": ""4C-3"", ""production_class"": ""AUTO_STRONG"", ""q_applicability"": ""STRONG_Q1_Q3"", ""semantic_class"": ""SEMANTIC_A_OR_B_HISTORIC_STRICT"", ""source_mode"": ""STRICT_4C2D_AUTO_STRONG"", ""statistical_class"": ""STAT_HIGH""}",11544000000.0,14477000000.0,Q3,2019,9636000000.0,20227000000.0,10044000000.0,11636000000.0,11544000000.0,2019-06-29,2019-07-30,17420,,53809000000.0,4601380000.0,AAPL,98465000000.0,V3_PHASE4C3_EBIT_EBITDA_PRODUCTION_APPLY_20260824T092352Z,2026-08-24T09:24:02.702073+00:00
2026-08-23T16:02:25Z,LEGACY,-2777000000.0,48844000000.0,2026-08-23T074231Z,,"{""free_cashflow"":""DERIVED:operating_cashflow + capex""}",15625000000.0,18804000000.0,Q4,2019,17133000000.0,24313000000.0,13686000000.0,19910000000.0,15625000000.0,2019-09-28,2019-10-30,17419,,64040000000.0,18595651000.0,AAPL,102067000000.0,V3_PHASE4B_DIRECT_RECOVERY_20260823T160224Z,2026-08-23T16:02:25Z
2026-08-23T09:28:17Z,V2,-2107000000.0,39771000000.0,2026-08-23T074231Z,,,25569000000.0,28385000000.0,Q1,2020,28409000000.0,35217000000.0,22236000000.0,30516000000.0,25569000000.0,2019-12-28,2020-01-28,17418,,91819000000.0,17818417000.0,AAPL,103302000000.0,V3_PHASE3C3_V2_RESIDUAL_EXISTING_Q_2026-08-23T092817Z,2026-08-23T09:28:17Z
2026-08-23T09:28:17Z,V2,-1853000000.0,40174000000.0,2026-08-23T074231Z,,,12853000000.0,15639000000.0,Q2,2020,11458000000.0,22370000000.0,11249000000.0,13311000000.0,12853000000.0,2020-03-28,2020-04-30,17417,,58313000000.0,17618765000.0,AAPL,99478000000.0,V3_PHASE3C3_V2_RESIDUAL_EXISTING_Q_2026-08-23T092817Z,2026-08-23T09:28:17Z
2026-08-23T09:28:17Z,V2,-1565000000.0,33383000000.0,2026-08-23T074231Z,,,13091000000.0,15843000000.0,Q3,2020,14706000000.0,22680000000.0,11253000000.0,16271000000.0,13091000000.0,2020-06-27,2020-07-30,17416,,59685000000.0,17419154000.0,AAPL,101557000000.0,V3_PHASE3C3_V2_RESIDUAL_EXISTING_Q_2026-08-23T092817Z,2026-08-23T09:28:17Z
