cid,dflt_value,index_name,index_unique,name,notnull,pk,table_name,type
0,,,,company_id,0,1,v3_company,INTEGER
1,,,,market,1,0,v3_company,TEXT
2,,,,ticker,1,0,v3_company,TEXT
3,,,,company_name,0,0,v3_company,TEXT
4,'ORDINARY',,,profile,1,0,v3_company,TEXT
5,1,,,active,1,0,v3_company,INTEGER
6,,,,admission_source,1,0,v3_company,TEXT
7,,,,admission_evidence,0,0,v3_company,TEXT
8,,,,created_at_utc,1,0,v3_company,TEXT
9,,,,updated_at_utc,1,0,v3_company,TEXT
,,idx_v3_company_active,0,,,,v3_company,
,,sqlite_autoindex_v3_company_1,1,,,,v3_company,
0,,,,event_id,0,1,v3_event,INTEGER
1,,,,event_type,1,0,v3_event,TEXT
2,,,,company_id,0,0,v3_event,INTEGER
3,,,,quarter_id,0,0,v3_event,INTEGER
4,,,,run_id,0,0,v3_event,TEXT
5,,,,occurred_at_utc,1,0,v3_event,TEXT
6,,,,details_json,0,0,v3_event,TEXT
,,idx_v3_event_quarter,0,,,,v3_event,
0,,,,lifecycle_id,0,1,v3_lifecycle,INTEGER
1,,,,company_id,1,0,v3_lifecycle,INTEGER
2,,,,endpoint_ttm_id,1,0,v3_lifecycle,INTEGER
3,,,,endpoint_quarter_id,1,0,v3_lifecycle,INTEGER
4,,,,endpoint_fiscal_year,1,0,v3_lifecycle,INTEGER
5,,,,endpoint_fiscal_quarter,1,0,v3_lifecycle,TEXT
6,,,,endpoint_period_end,1,0,v3_lifecycle,TEXT
7,,,,publish_date,0,0,v3_lifecycle,TEXT
8,,,,lifecycle_model_version,1,0,v3_lifecycle,TEXT
9,,,,lifecycle_ready,1,0,v3_lifecycle,INTEGER
10,,,,confidence,1,0,v3_lifecycle,TEXT
11,,,,raw_state,1,0,v3_lifecycle,TEXT
12,,,,final_state,1,0,v3_lifecycle,TEXT
13,,,,previous_final_state,0,0,v3_lifecycle,TEXT
14,,,,transitioned,1,0,v3_lifecycle,INTEGER
15,,,,transition_reason,1,0,v3_lifecycle,TEXT
16,,,,state_age,1,0,v3_lifecycle,INTEGER
17,,,,candidate_state,0,0,v3_lifecycle,TEXT
18,0,,,candidate_confirmation_count,1,0,v3_lifecycle,INTEGER
19,,,,hard_inflection_applied,1,0,v3_lifecycle,INTEGER
20,,,,lifecycle_fingerprint,1,0,v3_lifecycle,TEXT
21,,,,source_fingerprint,1,0,v3_lifecycle,TEXT
22,,,,feature_json,0,0,v3_lifecycle,TEXT
23,,,,output_json,0,0,v3_lifecycle,TEXT
24,,,,run_id,0,0,v3_lifecycle,TEXT
25,,,,created_at_utc,1,0,v3_lifecycle,TEXT
26,,,,updated_at_utc,1,0,v3_lifecycle,TEXT
,,idx_v3_lifecycle_endpoint,0,,,,v3_lifecycle,
,,sqlite_autoindex_v3_lifecycle_1,1,,,,v3_lifecycle,
