current_wave,fy_fq_locally_resolved,fy_fq_request_removed,remaining_external_facts,remaining_structural_decision,ticker
P3_LATEST8Q,NO,NO,EBIT_DIRECT|LINEAGE_OWNERSHIP_EVIDENCE|SOURCE_SEMANTICS_CONFIRMATION|TARGET_COLLISION_EVIDENCE,YES,BBY
P3_LATEST8Q,NO,NO,EBIT_DIRECT|LINEAGE_OWNERSHIP_EVIDENCE|SOURCE_SEMANTICS_CONFIRMATION|TARGET_COLLISION_EVIDENCE,YES,DELL
P3_LATEST8Q,NO,NO,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|LINEAGE_OWNERSHIP_EVIDENCE|OCF_FOR_FCF|REVENUE|SOURCE_SEMANTICS_CONFIRMATION|TARGET_COLLISION_EVIDENCE|TOTAL_DEBT,YES,FNGR
P3_LATEST8Q,NO,NO,EBIT_DIRECT|LINEAGE_OWNERSHIP_EVIDENCE|SOURCE_SEMANTICS_CONFIRMATION|TARGET_COLLISION_EVIDENCE,YES,GCO
P3_LATEST8Q,NO,NO,LINEAGE_OWNERSHIP_EVIDENCE|OFFICIAL_PERIOD_END,YES,HAE
P3_LATEST8Q,NO,NO,EBIT_DIRECT|LINEAGE_OWNERSHIP_EVIDENCE|SOURCE_SEMANTICS_CONFIRMATION|TARGET_COLLISION_EVIDENCE,YES,MRVL
P3_LATEST8Q,NO,NO,EBIT_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|FISCAL_TRANSITION_EVIDENCE|OFFICIAL_PERIOD_END|SOURCE_SEMANTICS_CONFIRMATION|TARGET_COLLISION_EVIDENCE|TOTAL_DEBT,YES,POWW
P3_LATEST8Q,NO,NO,LINEAGE_OWNERSHIP_EVIDENCE|MISSING_QUARTER_EXISTENCE|REVENUE|TARGET_COLLISION_EVIDENCE|TOTAL_DEBT,YES,RH
P3_LATEST8Q,NO,NO,EBIT_DIRECT|LINEAGE_OWNERSHIP_EVIDENCE|OFFICIAL_PERIOD_END|SOURCE_SEMANTICS_CONFIRMATION|TARGET_COLLISION_EVIDENCE,YES,RL
P3_LATEST8Q,NO,NO,EBIT_DIRECT|LINEAGE_OWNERSHIP_EVIDENCE|SOURCE_SEMANTICS_CONFIRMATION|TARGET_COLLISION_EVIDENCE,YES,SAIC
P3_LATEST8Q,NO,NO,EBIT_DIRECT|SOURCE_SEMANTICS_CONFIRMATION,YES,TJX
P3_LATEST8Q,NO,NO,EBIT_DIRECT|LINEAGE_OWNERSHIP_EVIDENCE|OFFICIAL_PERIOD_END|SOURCE_SEMANTICS_CONFIRMATION|TARGET_COLLISION_EVIDENCE,YES,TRNS
P2_LATEST4Q,NO,NO,CAPEX_FOR_FCF|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|LINEAGE_OWNERSHIP_EVIDENCE|MISSING_QUARTER_EXISTENCE|SOURCE_SEMANTICS_CONFIRMATION|TARGET_COLLISION_EVIDENCE,YES,VTGN
